Fon,French
E nɔ kan wezun tɔn lɛ azɔn we do vodungbegblamɛ ɔ mɛ,Elle fait ses courses deux fois par semaine.
E nyi mɛxo nu we azɔn wɛ,Elle est deux fois plus âgée que toi.
E su hu i azɔn atɔn,Il est trois fois plus grand que lui.
E sù hweɖénu,A une autre fois.
E sù hweɖévonu,A la prochaine fois.
"Ɛɛn, un wa fi ɖokpo",Oui ! Je suis venu ici une fois.
Gayɛnu tɔ̀n,Pour une fois.
Gbe ɖokpó sù,Il était une fois.
Gbe ɖokpó wá sù,Il était une fois.
Hwe ɖĕvo nu,A un autre moment.
Hwe ɖĕvo nu,Une autre fois.
"Hweɖĕbǔnu a wa fí ɔ́, xomɛ nɔ hun mì","Chaque fois que tu viens ici, je me réjouis."
Un na lɛ́ wá mɔ́ we nɛbɔ́ bɔ̀ mì ná ɖɔ xó ɔ́,Je reviendrai te voir une autre fois et nous parlerons de l’affaire.
"Un wá fí kákáká, un ka mɔ wè ɖò xwé ă","Je suis venu ici plusieurs fois, mais je ne t’ai pas trouvé à la maison."
É má sè fɔ̀ngbè nɛ́,Il ne comprend pas le fon.
"Ɛɛn, un se fɔngbe bi","Oui, je parle bien le fon."
"Nɛ e nɔ ɖɔ ""livre"" ɖo fɔngbe mɛ gbɔn ?","Comment dit-on "" livre"" en fon ?"
Un ɖò fɔngbe kplɔ́n wɛ̀,J’apprends le fon.
Un nɔ ze francegbe ɖo fɔngbe mɛ,Je traduis le français en fon.
Yovo se fɔngbe,Le Blanc parle le fon.
É wí cúcú,Il est noir foncé.
"Égbé ɔ́, un xɔ́ zăn","Aujourd’hui, j’ai fait fonction de veilleur de nuit."
Macínú ɔ́ nɔ́ w'azɔ̆ ganjí ă,Le moteur ne fonctionne pas bien.
A nɔ bà nǔ dò,Tu as l’habitude de chercher le fond des choses.
Ani ka ɖò linlin towe mɛ̀ ?,Quel est le fond de ta pensée ?
É ɖɔ̀ xó ɔ́ tlítlí tɔ̀n ă,Il n’a pas dit le fond de cette affaire.
E nɔ́ kàn nùhlɛ́nhlɛ́n byɔ́,Il demande le fond de la chose.
Kanlín lɛ́ bĭ ɖo wezun dó wɛ̀ gbligblì,Toutes les bêtes couraient à fond de train.
Ma bà dò nà ó !,Ne cherche pas le fond de l’affaire.
"Mɛ din elɔ, Kutɔnu gble kpo gba kpo sin",Maintenant Cotonou est gâté avec les bas-fonds et de l'eau.
Tɔká ɔ́ syɔ́ ɖo dotɔ ɔ́ mɛ̀,Le récipient s’est rempli d’eau et a plongé au fond de la citerne.
Un ba do kpo ná,Je n’ai trouvé le fond de l’affaire.
Un bà dò nà ó,Je n’ai pas cherché le fond de l’affaire.
Hɛnnu wɛ nyi sosyɛn nú gbetɔ sin togun,lobɔ togun enɛ ɔ kpodo acɛkpikpa to ɔ tɔn kpan ka ɖo na jɛ hun do jĭ tɔ
"Mɛ e dó hɛnnu énɛ́ wá, bó ká ɖò gàn tɔ́n nyí wɛ́ ɔ́ nɛ́ nyí Kristu nɛ́",Le chef fondateur de cette famille est le Christ.
Mì ná kun dò b’a dó xɔ dò,Nous allons creuser les fondations de la maison.
Gbɛtɔ bi ɖo acɛ bo na dó azɔjigbɛ alo é hɛn ɔ é na nɔ gbɛ mɔhun ɖee na sixu glɔn nyɔna tɔn lɛ n'i emɛ,Toute personne a le droit de fonder avec d'autres des syndicats et de s'affilier à des syndicats pour la défense de ses intérêts.
Ami ɔ yɔ,La graisse est fondue.
"Ɖo ganzɛn kpɛvi mɛ ɔ, un hɛn sinsin ɖo sin zozo litli ɖokpo mɛ","Dans une casserole, je la fais fondre dans un litre d'eau chaude."
E sínsín siká ganví nɛ́ ɔ́ lɛ́ bĭ bó zé tùn nyìbúví siká tɔ́n ɖokpó,Il fit fondre tous ces bijoux et fabriqua un veau d’or.
Un hɛn sinsin ɖo sin zozo litli ɖokpo mɛ,Je la fais fondre dans un litre d'eau chaude.
Vɛ̆la ɔ́ yɔ̀,La bougie a fondu.
Mĭ ɖò bɔ̌luafɔsɔ́xotɛn ɖĕvo bló wɛ̀,Nous sommes en train de faire un nouveau terrain de football.
A dŏ hlɔ̀nhlɔ̀n hú mì,Tu as plus de force que moi.
Ablumɛ̀ hlɔ̀nhlɔ́n lɛ́,Les forces de l’ombre.
Ahàn ɔ̀ vɔ́ dà,L'alcool a perdu de sa force.
Bò ɔ̀ flá,Le talisman a perdu de sa force.
Bŏ ɔ́ klàn,Le gri-gri a perdu sa force.
Bò ɔ̀ klɔ́n,Le gri-gri a perdu de sa force.
E cyá nú mì,Il m’a répondu avec force.
É dɔ́n mì kplulù,Il m’a tiré de force.
É dɔ́n mì xwaà,Il m’a tiré de force.
É dó nŭ mì bawùn,Il m’a frappé avec force.
É gblɔ́n adăn ɖɔ̀ émí ná bló,Il a promis avec force qu’il le fera.
E vɔ́ bĭ,Il est sans aucune force.
É wli vì ɔ́ gănnù bó sɔ́ dó xɔ ɔ́ mɛ̀,Il a pris l’enfant de force et la mis dans la case.
E ylɔ́ ɛ́ b’ɛ́ cyá,On l’a appelé et il a répondu avec force.
Hlɔ̀nhlɔ́n cé vɔ̀,Je suis à bout de force.
Lanmɛ ce gbɔ́jɔ́,Je suis sans force.
Lanmɛ ce vɔ́ dà,Mon corps est sans force.
Lanmɛ tɔ̀n bĭ kó jó kàn,Il est sans force.
Nù kpé mì,Je suis à bout de force.
Un ɖɔ jí lé mɛ́ jí lé,Je redis avec force.
Un lɛ vɔ́ hlɔ̀nhlɔ́n mɔ̀,J’ai repris des forces.
Xó ɔ́ gbɔ́jɔ́ lanmɛ nú mì,Cette affaire m’a laissé sans force.
Hlɔ̀nhlɔ́n cé vɔ̀,Je suis à bout de forces.
Yè zɔ́n ɛ̀ gànnú ɖɔ̀ é ní bló,Ils le forcèrent à le faire.
Atin zunkanmɛ tɔn lɛ,Les arbres de la forêt.
E yi zun,Il est allé dans la forêt.
É yi zunkan mɛ̀,Il est allé dans la forêt.
Xɛvi lɛ sin han ɖo gbe ɔ mɛ,Le chant des oiseaux dans la forêt.
"Gàn ma tùn, gàn ma tùn, bo zun cyá","L’Ayatovi Ganmɛnu (tribu des forgerons d’Abomey) ne forge plus, et pourtant son marteau ne reste pas silencieux."
Tɛ́n gyankpa élɔ́ nú mì,Forge-moi ce coupe-coupe.
"A nɔ lɛ gle à ? - Éŏ, fletuntɔ́ wɛ́ nú mì","Tu travailles la terre ? - Non, je suis forgeron."
"Ayatɔ́ ganmɛnu, o kú !","Forgeron l'homme du fer, salut !"
"Ee un ma sɔ́ tuwùn lĕ un na bló gbɔ̀n à é ɔ́, un gbɔ bo yì nùtúntɔ́ gɔ́n","Ne sachant comment faire, je suis allé voir le forgeron."
Ganzɔwatɔ ɔ ɖo gan xo wɛ,Le forgeron bat le fer.
"Eo, un ɖo kewunkewun","Non, je suis en pleine forme."
Lanmɛ ce yá ă,Je ne suis pas en forme.
Nɛ̀ é cí ?,Quelle forme a-t-il ?
Ninɔmɛ tɛ́ é ɖó ?,Quelle forme a-t-il ?
Nunɔmɛ tɛ́ é ɖó ?,Quelle forme a-t-il ?
Wù yá mì,Je suis en forme.
Wù yá wè kpɛɖé à ?,As-tu retrouvé un peu la forme (après la maladie) ?
Akpa ce sú gbă,Ma plaie a formé une croûte.
Ɖo gbɛ xa mɛ,Former une association avec quelqu'un.
É ɖ’ɛ́ lójó tawùn,On l’a bien formé.
É lilɛ́ togoɖò ă,Le cercle n’est pas bien formé.
Gbadé ɔ́ fɔ̀ vĭ,Le maïs a formé des épis.
Anɔ̀ tɔ́n tɔ́n,Ses seins se sont formés.
Tínmɛ́ tɛ́ wɛ̀ ɖɛxixo énɛ́ ɔ́ lɛ́ ɖó ?,Que signifient ces souhaits que l’on formule ?
A ɖó hlɔǹhlɔ́n hú mɛ bĭ,Tu es plus fort que tous.
A dŏ hlɔ̀nhlɔ̀n hú mì,Tu es plus fort que moi.
Ahan élɔ́ glá,Cet alcool est fort.
Ahan élɔ́ syɛ́n,Cette boisson est forte.
Ahàn nɛ́ ɔ́ glá,Cet alcool est fort.
Akú ɖó kláklá,La sécheresse est très forte.
"Amɔ̆ mɛ e ɖò gudo ce jăwe ɔ, mɛ enɛ ɔ hu găn mì",Mais celui qui vient derrière moi est plus fort que moi.
E dó hlɔ̀nhlɔ́n,Il est fort.
É dó nŭ mì dawùn,Il m’a donné un coup bien fort.
É fyɛ́ yaà,Ça brûle fort.
E gló mì,C’est plus fort que moi.
É hú găn mì,C’est plus fort que moi.
E ji zo yaà,Ça brûle fort.
E mɔ ahan syɛ́nsyɛ́n kɔ́fo wè bo blá,Il a trouvé deux verres d’alcool fort et les a bus.
É nɔ́ sú xó lélélé,Il crie très fort.
Hɛn mi ɖo tè syɛ́nsyɛ́n,Tiens-moi debout bien fort.
Hwezivɔ́ hún gáɖágáɖá,Le soleil est très fort.
Hwezivɔ ka syɛn ă,Le soleil n'est pas fort.
Jɔhɔn gbagbàgúgú ɖé nyí sɔ̀,Il a fait un vent très fort hier.
Jɔhɔn syɛ́n,Le vent est fort.
Jɔhɔn wòkógo ɖé nyì,Un vent très fort a soufflé.
Lɛngbovi kpɛvi ɔ su xo gangan,La jeune chèvre cria très fort !
Mi ɖɔ xo gangan,Parlez fort.
Wooó syɛ́n,L’harmattan est fort.
Wú tɔ́n syɛ́n,Il est fort.
Xú tɔ́n syɛ́n,Il est fort.
Zĕ gbe yi jĭ,Parle plus fort.
É gbɔ́jɛ́ fiìn,Il a soupiré fortement.
É sú xó tlílí,Il a crié fortement.
Jawun hɛ̀n nŭ alɔ ma yí,"Ce qu’on tient fortement, il n’y a pas de main qui l’arrache."
É ná n’ɛ́ hlɔnhlɔ́n,Cela le fortifiera.
Flɛ́nflɛ́n ná xò nù nú wè,Tu auras une bonne fortune.
É bɛ́ wlé,Il est devenu fou.
E hun ta ɖu kpɛɖe,Il est un peu fou.
É kpé nú wè ă,Tu es fou.
É ylɔ̆ nù nyí dó tó mɛ́ n’í b’ɛ́ hun ta ɖù,Il a appelé le nom d’une chose à son oreille et il est devenu fou.
Lùlú á ɖé à ?,Es-tu fou ?
Nɔ ce nɔ do taɖu mi,Mais ta mère me rend fou.
Taɖunɔ lɛ tiin ɖo gbɛmɛ,Il existe des gens qui sont fous.
Tamɛ tɔn kpé ă,Il est un peu fou.
Un tuun a ɖo e hun taɖu,Je ne sais pas car il est fou.
"Un tuun, nɔ ce nɔ do taɖu mi","Je sais, mais ta mère me rend fou !"
Năwè élɔ́ bɛ́ ayixazɔ̀n,Cette femme est devenue folle.
So jɛ̀ atín ɔ́,La foudre est tombée sur l’arbre.
So wɛ jɛ ɛ̀,Il est mort foudroyé.
E kíjé sáki towe mɛ̀,Il a fouillé dans ton sac.
Mi kije,Fouillez
Ahwan wɔbuwɔbu ɖé lɛɛ xwedó é,Des foules nombreuses se mirent à le suivre.
Mɛ sùkpɔ́ kplé ɖ’agba ɖaxó ɖé sá,Une foule de gens s’étaient réunis dans une grande salle.
Tɔ ɔ xɔ́,Il y a foule au puits.
Wɔxuxublotɔ do wɔxuxu ɖe sinsinkpo mɛ we,Le boulanger retire le pain du four.
É sɔ́ ayi blùblú xá xɔ́ntɔ́n tɔ̀n,Il a usé de fourberie à l’égard de son ami.
E flán ɖɛ̆,Sa langue a fourché.
Kɔku na sɔ gafu ɖu wɔ na,Koku mangera de la pâte avec une fourchette.
"Zinzɛn wiwi lɛ bɛ yeɖee bo yi hannuhannu vɔvɔ lɛ gɔn, yetɔn ahwan ye, ye hu ye mɛ bi bo bɛ cyɔ yetɔn lɛ wa xwe gbe","Les fourmis noires se portèrent alors chez les termites rouges, leur livrèrent bataille, en exterminerent et transportèrent les cadavres dans leur demeure."
Yĕ ɖò wininì,Ça fourmille.
Yè nɔ̀ dán vlivlivlì,Ils fourmillent.
Sɔ́ hwì tówè d’ákún mɛ̀,Mets ton épée dans le fourreau.
Awàságbe ɖò bibɛ wɛ̀ ɖò bibɛtɛn tɔ̀n,Un écureuil est en train de se fourrer dans sa cachette.
E sanfú ă,Il s’en fout.
Nyɛ ma sanfú nɛ́,Je m’en fous.
Lɛ̀ vɔ́ ɖó wɔ̆ ado jí,Remets la pâte sur le foyer.
É da tú gbaàn,Il a tiré un coup de fusil avec fracas.
Kpákpá ɔ́ xo awa gbagba bo yì,Le canard a battu des ailes avec fracas et est parti.
Sò nyì awăn,Il a tonné avec grand fracas.
Xu na wlú bó ná w’àdaàn káká,La mer sera très agitée et fera un grand fracas.
E fó hɔ̀n ɔ,Il a fracassé la porte.
"Yè xwédo Apostolu lɛ́ sín nukplɔ́nmɛ, bó kplé nŭ yètɔ́n lɛ́ ɖó kpɔ́ nɔví ɖɔ́hùn. Yè nɔ́ kplé bó nɔ́ ɖù nŭ, bó kɔ́n nɔ́ xà yɛhwe","Les chrétiens s'appliquent à écouter fidèlement l'enseignement que donnaient les apôtres, à être fidèles à la communion fraternelle, à la fraction du pain et aux prières."
Un wɛ́n afɔ̀,Je me suis fracturé une jambe.
Afɔkpa ɔ fɛ́ɖɛ́ kàn,Les courroies de la chaussure sont fragiles.
Hunsín tɔn syɛ́n ă,Il est de santé fragile.
Jìví ɔ́ fɛ́ɖɛ́ atín,Le couteau est fragile de manche.
Lanmɛ tɔn syɛ́n ă,Il est de santé fragile.
Nu fɛɖɛfɛɖɛ ɖe lɛ,Des objets fragiles.
"Jĭ jà ɔ, gbɛmɛ ná fá","S’il pleut, le temps fraîchira."
Ahan fifa,Boisson fraîche.
Akaju lɛ fa bo nyɔ,Les noix de cajou sont fraîches et bonnes.
Atín ɔ́ sá ɖò wɛɛɛ̀,Il fait bien frais sous l’arbre.
E fá,C’est frais.
E mɛ̀ gbadé fɛ́,Elle a fait griller du maïs frais.
Gbade fɛ,Maïs frais (non encore séché).
Gbɛ na fa nu we,La vie sera fraîche pour toi.
Gbɛmɛ fá,Il fait frais.
Hweví ɔ́ ɖò mǔ,Le poisson est frais.
Hwevi mu,Poisson frais.
Mi ma nu ama mu o,Ne mangez pas de légumes frais.
Na mi sin fifa,Donne-moi de l'eau fraîche.
Un ɖo azin ɖiɖa ɖu wɛ,Je mange des oeufs frais.
Vɛɛn elɔ ɔ fifa tɔn wɛ e nɔ nu,Ce vin se boit frais.
E hízí nŭ,Il n’est pas franc.
É nɔ ɖɔ̀ xomɛ̀,Il est franc.
E nɔ́ gbá nù nú xó ă,Il est franc.
E nɔ́ hízí nŭ,Il n'est pas franc.
E nyɔ nu e na nɔ ɖɔ nugbo a ?,Est-ce bon d’être franc ?
Flan ɖokpo,Un franc.
Kpɔ́wun afɔ́tɔn nukún ɖokpó jɛ́n un hɛ̀n,Je n'ai apporté que quatre cents francs.
Kpɔwun ɛnɛ,Cent francs (quatre pounds).
Kpɔwun ko,Cinq cent francs (vingt-cinq x cinq).
Un ná ɖɔ̀ xomɛ nú wè,Je serai franc avec toi.
É sè amagbè,Il parle bien la langue française.
"Eo, Flansɛɛ wɛ un nyi","Non, je suis Français."
Mɛ ce lɛ bi ɖo yovotomɛ,J’ai de la famille en France.
"Un ma na ɖo aɖingban a ɔ, ɛɛn","Franchement, oui !"
A gbɔn anakpo ɔ,Tu franchis le pont.
E xò do ɔ zlɛ́,Il a franchi le fossé.
A xo è,Tu l’as frappé.
Alɔ ná jɛ̀ wŭ wè,On va te frapper.
Awè xó è,Un malheur l’a frappé.
"Cáyì, un ná xó wè !",Ah çà ! Je vais te frapper !
"E blo nu kpɛɖe kpowun ɔ, e nɔ xo e kaka bɔ agbaza tɔn bi nɔ gble","Il fait tout simplement une petite chose, il est frappé très fort jusqu'à ce que tout son corps soit gâté."
E byɔ xɔ ɔ mɛ ma xuxu hɔn,Il entra dans la pièce sans frapper.
É dó nú mì d’ábɔ̀ jí,Il m’a frappé sur l’épaule.
É xúxú hɔn nú mì gogogò,Il a frappé à ma porte.
Kofi xo mɛɖe ă,Kofi n'a frappé personne.
Kofi xo mɛti ă,Kofi n'a frappé personne.
"Ma dó akizá mí ó, un táá kpò tà",Ne me frappe pas avec un balai de peur que je ne reste célibataire.
Nùxíxó ɖíè,Voici quelque chose qu’on devrait frapper.
Un mɔ́ dɔ̀nkpɛ́vú fánnáfánná we ɖò hùn xó wɛ̀,J’ai vu deux jeunes très bien en train de frapper le tambour.
Un na ɖ’álɔ̀ wú’we mɛ̀ !,Je vais te frapper !
"Vì é xò tɔ́ tɔ̀n alŏ xò nɔ̀ tɔ̀n ɔ, e nɔ ɖɔ n’í ɖɔ́ jí","""A xo lɔ""̀"
Xo alɔ,Frapper des mains.
Xò alɔ kpɛ́ bó byɔ́ xɔ mɛ̀,Frappe des mains et entre dans la maison.
Xo mɛ,Frapper quelqu'un.
Yĕ bɔ̀ nŭ nyì wŭ cè,Ils commencèrent à me frapper.
Avivi ɖaxó ɖé wá xo mì,J’ai eu une grande frayeur.
Xɛsi ɖaxó ɖé jɛ̀ yè jí,Une grande frayeur tomba sur eux.
Yĕ ɖò adohu adohu jí,Ils sont dans une grande frayeur.
Agbaza nɔ fɛɖɛ,Le corps frêle.
Agbaza yetɔn nɔ fɛɖɛ,Leur corps est frêle.
Lanmɛ ce nɔ bló dɛɛ̀n,Je sens un frémissement annonciateur de fièvre.
E nɔ́ jɛ̀ hwɛhwɛ̀,Cela arrive fréquemment.
E nɔ́ jɛ̀ hwɛhwɛ̀,C'est fréquent.
Azɔmɛvi gege ɖe nɔ yi finɛ a,Très peu d'élèves la fréquentent.
Sɛ yi zɔ̀ n'í,Ne fréquente plus ce mauvais camarade.
Yĕ ɖò hà dó wɛ̀,Ils se fréquentent.
E kpɔ́n te nú hwi kpó nɔví tówé kpó à ?,Est-ce que cela va mieux avec ton frère ?
Nɔvi ce,Mon frère ou ma soeur.
Nɔví cé nɛ́,Voilà mon frère.
Nɔvi ce sunnu lɛ bi,Tous mes frères.
Nɔvi ce wɛ,C’est mon frère.
Nɔvi nabi a ɖo ?,Combien de frères et sœurs as-tu ?
Nɔví tówé ló ?,Et ton frère ?
Nukɔntɔ́ cé wɛ̀,C'est mon frère aîné.
Un ɖo nɔvi nyɔnu ɖokpo kpo nɔvi sunnu ɖokpo,J'ai un frère et une sœur.
É sá amásin dó wŭ,Il s’est frictionné le corps avec un médicament.
E sá amásin dó wŭ,Il s'est frictionné le corps.
"Nuɖanu gege ɖo ""frigidaire"" ɔ mɛ ɖayi",Il y avait largement assez de provisions dans le frigidaire.
Alɔ ce bíbɔ́,Ma main est fripée (suite à une brûlure).
E ɖo ɖa wlowlo,Il a les cheveux frisés.
Jean ɖo ɖa wlowlo,Jean a les cheveux frisés.
Đa tɔn mlí gŏ,Ses cheveux se frisent.
Ɖakpatɔ ɔ ɖo Mari sin ɖa wlo wɛ,Le coiffeur frise les cheveux de Marie.
Lan ce mɛ ɖò yii kɔ́ wɛ́,J’ai senti un grand frisson.
Lan ce mɛ nɔ kɔ́yiì,J’ai senti un grand frisson.
Wutú ce slɔ́ fún,J’ai des frissons.
Hwe sisɔ,Poisson frit.
Hwevi sisɔ,Poisson frit.
Hwevísisɔnɔ ɖíè,Voici la marchande de poisson frit.
Tevi sisɔ,Ignames frites.
Amɔ tii ɔ fa,Mais le thé est froid.
Avivɔ ɖò sinsin mi wɛ̀,J’ai froid.
Avivɔ sin wè,Tu as froid.
E fá,C’est froid.
E fá ɖò nukún jí ă,Il n’a pas froid aux yeux.
E slɔ́ fún mì,J’ai froid.
Jɔhɔn gbɛ́,Il fait froid.
Jɔhon ɖo sinsin mi wɛ,J’ai froid.
Jɔhon sin mi ă,Je n’ai pas froid.
Nɛ gbɔn ? Jɔhɔn lɛ ɖo mi sin wɛ a ?,Comment ? Vous avez encore froid ?
Nuɖuɖu ɔ fa,La nourriture est froide.
Sin ɔ fa,L’eau est froide.
Un ɖò avivɔ sísɔ́ wɛ̀,Je tremble de froid.
É dó gbe mi cɛ́wún,Il m’a salué froidement.
Awu ce woló,Ma chemise est froissée.
Kúsú ama nɛ́ ɔ́ lɛ́ dó sin mɛ̀,Froisse ces feuilles-là dans l'eau.
Fɔ̀ awu ce nú mì,Fronce-moi la robe.
Vì élɔ́ jɛ̀ aglăjà,Cet enfant est frondeur.
Yĕ yì sozonu,Ils sont allés au front.
É byɔ́ xɔ ɔ́ mɛ́ xlówún,Il est entré dans la pièce sans frotter ni à droite ni à gauche.
E lílí akwɛ́ wú,Il a frotté l’argent sur le corps (avant de l’offrir à la quête).
É sɔ̀n wù ɖó dò wŭ,Il s’est frotté contre le mur.
E tíntɛ́n aɖŭ,Il s’est frotté les dents.
Gìngín wŭ tɔ̀n ganjí n’í mɛ́,Frotte-le bien qu’il soit propre.
Sɔ̀n wù n’í ganjí,Frotte-lui bien le corps.
Tíntɛ́n wú ganjí,Frotte-toi bien (le corps).
"Un dó agban mɔ̌to mɛ̀ din ɔ́, é ná sɔ̀n gbɔ̀n kɔ́ mɛ̀","Si je charge trop la voiture, elle frottera par terre."
Un gíngín afɔ dó kɔ mɛ̀,J’ai frotté les pieds par terre.
Un sá amasìn dó wŭ cè,Je me suis frotté le corps avec un médicament.
Gbè cɛ́ n’í,La chasse lui a été fructueuse.
Ɖu atinsinsɛn ɖokpo,Mange un fruit.
E sɛ́n,Il a des fruits (en formation ou à maturité).
Etɛ wutu a xɔ atinsinsɛn ɖokpo ?,Pourquoi as-tu acheté un fruit ?
Un xɔ atinsinsɛn ɖokpo,J’ai acheté un fruit.
É ɖè afɔ nyì cáɖá mɛ̀,Il a fui au loin.
E hɔ́n dó mì,Il m'a fui (à mon insu).
É hɔ̀n nú mì,Il m’a fui.
E hɔ́n yí bɛ̀,Il a fui pour se cacher.
Hɔn nu asi towe,Fuis ta femme.
"Site, zĕ vĭ ɔ, kplá nɔ tɔn, bo hɔn yì Ejipu","Lève-toi, prends avec toi l'enfant et sa mère, et fuis en Égypte."
Mɛ ɖokpo hɔn,Une personne a pris la fuite.
Hwevi hihi,Poisson fumé.
É tɔ́n azɔ siì,Il est sorti de la fumée très épaisse.
Xɔ ɔ gɔ́ nú azizɔ̀,La maison est remplie de fumée.
A nɔ nu azɔ,Tu fumes.
É ɖò gbŏke nu wɛ̀,Il fume.
E hì hweví,Elle a fumé du poisson.
E nu azɔ ɖokpo bo ɖido,Il fuma une cigarette puis il s'en alla.
Eŏ ! Un nɔ nu azɔ ă,Non ! Je ne fume pas.
Kofi nɔ nu azɔ,Kofi fume.
Mi nɔ nu azɔ a ?,Est-ce que vous fumez ?
Nă mì sigá má nù,Donne-moi une cigarette que je la fume.
"Nyɛ ɔ, ɖokpo jɛ un nɔ jlo na nu","Moi, je veux seulement en fumer une."
Nyɛ mɔ nɔ nù àzɔ̀ nɛ́,"Moi, je ne fume pas."
Nyɛ mɔ nɔ nu nɛ́,"Moi, je ne fume pas."
Zogbɛ́n élɔ́ ɖ'azɔ si wɛ̀,Cette lampe fume.
Zogbɛ́n élɔ́ s’ázɔ̀,Cette lampe fume.
Wa cyɔnu,Faire des cérémonies funèbres.
Yĕ ɖò mɔɖɔ gbo wɛ̀,Ils sont en train de donner leur part pour la cérémonie funèbre.
Mĭ wà cyɔ́nú daà tɔ̀n,Nous avons fait les funérailles du chef de famille.
Xomɛ sìn i tlala,Il fut pris d'une violente fureur.
Zo nɔ w’adăn yi tɔxwé ă,Rien ne pourra m’atteindre (Le feu en furie ne va pas dans la maison de l’eau).
Mɛtɛfyɛ́ tɛ̀ vĭ cè,Mon enfant a un furoncle.
Nù tɛ́ mì,J’ai un furoncle.
Nùtítɛ́ ɔ́ wún sìn,Le furoncle a crevé.
Da kpodo tu kpo,"Tirer avec un fusil, un pistolet."
Sɔ́ tú tówé nyì akɔbó,Mets ton fusil à l’épaule.
Tɔ́ ce nɔ́ zé tú tɔ́n dó kɔlivla mɛ̀,"Mon père met son fusil à l’épaule,."
Tu ɖee tɔ ce xɔ ɔ nyɔ,Le fusil qu'a acheté mon père est bien.
Xó maɖìnùɖé wɛ̀,C’est une chose futile.
"Mi ma wá à ɔ́, é ná lá mi","Ça ne ressemble à rien, c'est une futilité."
Nù má ɖì nùɖé wɛ̀,C’est une futilité (Affaire qui ne profite à rien).
Nŭ yayá wɛ̀,C’est une futilité.
E sɔ́ wèmá tɔ́n ɖó gbanu bo yí akwɛ́ dó,Il a mis son livre en gage et a reçu de l'argent.
É zé wémá tɔ́n ɖ’áxɔ́nu,Il a laissé son livre en gage.
Sɔ́ nùɖé ɖó gbanu nú mì,Donne-moi quelque chose en gage.
A mɔ̀ kwɛ́ kpɛɖé à ?,As-tu gagné un peu d'argent ?
A nɔ xo bo nɔ ɖu,Tu joues et tu gagnes.
Azɔvi ɔ nɔ ɖu akwɛ gege ă,Le manoeuvre ne gagne pas beaucoup d'argent.
Bill nɔ ɖu kwɛ gege,Bill gagne beaucoup d'argent.
E nɔ ɖu akwɛ gege à ?,Est-ce qu'elle gagne beaucoup d'argent ?
Gba gbè nú mì,Donne-moi une partie de ce que tu as gagné.
Kofi na ɖo kwɛ n'i e w'azɔ ɔ,Kofi gagnera de l'argent s'il travaille.
Mɛ ká ɖ’aji hu wɛ̀ ?,Qui gagne ? (A des joueur d’aji ).
Mɛ ká ɖú ɖ’é jí ?,Qui a gagné ?
Mɛ̀ ká hù aji ɔ́ ?,Qui a gagné ?
Mɛ̆ tɔn wɛ̀ nŭ akplé lɛ́ ná nyí lò ?,Alors pour qui sera tout ce que tu aurais gagné ?
Un ɖu akwɛ,J’ai gagné de l’argent.
Un ɖu nuɖe ă,Je n'ai rien gagné.
Un ɖu nuti ă,Je n’ai rien gagné.
Un mɔ akwɛ gege,J’ai gagné beaucoup d’argent.
Ye ɖu ɖo mɛ ji,Ils ont gagné.
Xomɛ nɔ hun i dín,Il est très gai.
Kpodo awajijɛ kpo,Gaiement.
Dɔnkpɛ́vú cákácáká,Un grand gaillard.
E kpá wé à ?,As-tu eu gain de cause ?
Aziin ganvi,Galette d'arachides.
Galita ɖagbe,Une bonne galette.
Gbade ganvi,Galette de maïs.
É ɖó kan ɖ’abɔtá,Il a des galons sur l’épaule.
"Sɔ lɛ ɖo yiyi wɛ ɖo ali ɖaxo ɔ ji, afɔ yetɔn ɖo zingidi blo wɛ","Les chevaux galopent sur la grand-route, leurs sabots font du bruit."
Lɛngbɔvi lɛ ɖo lilɔn wɛ ɖo gle ɔ mɛ,Les chevreaux gambadent dans le champ.
Zɛ̀nhɔ́n tɛ́ wè,Tu as de gros ganglions.
"Mi ɖo vi atɔn, sunnu we, nyɔnu ɖokpo","Nous avons trois enfants, deux garçons et une fille."
Nyavi ɖa wiwinɔ ɔ,Le garçon aux cheveux noirs.
Súnnú wɛ́ à ?,Est-ce un garçon ?
"Un ɖo sunnu ɖokpo, kpo nyɔnu ɖokpo",J'ai un garçon et une fille.
Vì élɔ́ nɔ́ nɔ̀ fí ɖokpó ă,Ce garçon ne tient pas en place.
Cáwún cáwún towè ma sɔ́ ba há mì ɖè ó,Prends garde de me manquer d’égards désormais.
Cɔ́ hwiɖéé,Prends garde à toi.
Cɔ́ hwiɖéé ɖò yè tɛ́ntín,Prends garde à toi avec eux.
D’áyi xomɛ̀,Prends garde.
Xwe sɔ̀ !,Prends garde !
Gbɔ hɛn,Des moutons gardés.
Anny na nɔ xwe gbe bo na hɛn nɔvi tɔn,Annie restera à la maison pour garder son petit frère.
Azinzɔnnɔ ɔ ɖo jiɖe,Le malade garde l’espoir.
Cuku ɔ kpodo kanlinnyitɔ ɔ kpo nɔ hɛn gbɔ lɛ,Le chien et le berger gardent les moutons.
"Ðe a si hɛn ɔ wɛ, a na ɖo","Si tu peux les garder, tu les auras."
E ɖò xwé ɔ́ kɔ̀n,Il garde la maison.
E ɖo ye hɛn wɛ,Il les garde.
É hɛ̀n nu tɔ̀n,Il a gardé le secret.
